City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Nome,US,2022-07-01 02:30:07,64.5011,-165.4064,69.17,72,20,9.22
188,Nosy Varika,MG,2022-07-01 02:30:08,-20.5833,48.5333,66.2,77,83,5.46
189,Raudeberg,NO,2022-07-01 02:30:08,61.9875,5.1352,61.86,69,6,4.79
190,Namuac,PH,2022-07-01 02:30:09,18.6109,121.1657,83.43,77,100,3.91
191,Aswan,EG,2022-07-01 02:30:09,24.0934,32.907,81.7,32,0,11.5
192,Kavaratti,IN,2022-07-01 02:30:10,10.5669,72.642,82.71,79,95,23.15
193,Birjand,IR,2022-07-01 02:30:11,32.8663,59.2211,79.27,24,1,11.5
194,Wattegama,LK,2022-07-01 02:30:11,6.7989,81.4808,85.42,57,94,2.73
195,Imperial Beach,US,2022-07-01 02:30:12,32.5839,-117.1131,82.85,77,20,11.5
196,Mucurapo,TT,2022-07-01 02:30:13,10.6667,-61.5333,78.96,82,76,7.7
197,Thompson,CA,2022-07-01 02:30:05,55.7435,-97.8558,46.56,76,40,11.5
198,Acapulco,MX,2022-07-01 02:26:07,16.8634,-99.8901,84.02,74,20,10.36
199,Makakilo City,US,2022-07-01 02:30:13,21.3469,-158.0858,86.32,55,75,20.71
200,Ahipara,NZ,2022-07-01 02:30:14,-35.1667,173.1667,60.08,87,97,7.99
201,Ayan,RU,2022-07-01 02:30:15,56.45,138.1667,71.11,59,28,4.88
202,Faanui,PF,2022-07-01 02:30:15,-16.4833,-151.75,79.43,70,6,21.43
203,Kirovskiy,RU,2022-07-01 02:30:16,45.0917,133.5136,77.0,69,100,3.58
204,Rantepao,ID,2022-07-01 02:30:16,-2.9701,119.8978,80.94,65,83,2.13
205,Butaritari,KI,2022-07-01 02:30:17,3.0707,172.7902,82.89,76,15,15.99
206,Abu Samrah,SY,2022-07-01 02:30:18,35.3029,37.1841,70.7,66,0,8.03
207,Burgersdorp,ZA,2022-07-01 02:30:18,-30.9977,26.3286,40.03,43,0,4.65
208,Dubbo,AU,2022-07-01 02:30:19,-32.25,148.6167,51.93,87,100,10.36
