City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Maragogi,BR,-9.0122,-35.2225,75.02,87,0,11.56,clear sky
125,Khvatovka,RU,52.3524,46.5628,58.48,70,4,3.87,clear sky
126,Pagudpud,PH,18.5616,120.7868,87.35,66,29,2.53,scattered clouds
127,Barrow,US,71.2906,-156.7887,51.82,82,20,13.8,few clouds
128,Mackenzie,CA,55.2999,-123.1698,68.22,60,75,16.11,broken clouds
129,Lethem,GY,3.3803,-59.7968,76.64,82,57,6.42,light rain
130,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,81,75,16.11,broken clouds
131,Skjervoy,NO,70.0311,20.9714,48.2,82,84,1.77,broken clouds
132,Deputatskiy,RU,69.3,139.9,43.36,93,100,3.33,light rain
133,Rio Gallegos,AR,-51.6226,-69.2181,23.05,100,75,1.14,fog
134,Veraval,IN,20.9,70.3667,82.44,86,100,21.56,heavy intensity rain
135,Fethiye,TR,36.6217,29.1164,69.67,42,0,3.02,clear sky
136,Touros,BR,-5.1989,-35.4608,74.07,94,54,10.49,broken clouds
137,Port Elizabeth,ZA,-33.918,25.5701,53.31,86,0,4.61,clear sky
138,Tasiilaq,GL,65.6145,-37.6368,41.16,81,100,5.7,overcast clouds
139,Florence,IT,43.7667,11.25,76.3,80,0,2.3,clear sky
140,Khatanga,RU,71.9667,102.5,43.23,88,100,14.05,moderate rain
141,Portland,US,45.5234,-122.6762,75.45,69,75,8.05,broken clouds
142,Leningradskiy,RU,69.3833,178.4167,34.88,91,100,12.88,overcast clouds
143,Nata,PA,8.3333,-80.5167,75.97,92,100,4.32,overcast clouds
144,Pio Ix,BR,-6.8375,-40.5792,68.61,81,0,7.16,clear sky
145,Poronaysk,RU,49.2167,143.1167,61.56,90,55,9.55,broken clouds
146,Hasaki,JP,35.7333,140.8333,73.8,84,13,18.59,few clouds
147,Okhotsk,RU,59.3833,143.3,63.54,80,40,11.9,scattered clouds
148,Arlit,NE,18.7369,7.3853,89.08,12,7,10.6,clear sky
149,Hobyo,SO,5.3505,48.5268,75.96,80,48,24.25,scattered clouds
150,Orange Park,US,30.1661,-81.7065,86.18,75,75,12.66,broken clouds
151,Fairview,US,40.8126,-73.999,81.48,62,0,3.44,clear sky
152,Korla,CN,41.7597,86.1469,83.14,15,6,17.18,clear sky
153,Bambous Virieux,MU,-20.3428,57.7575,70.05,60,75,11.5,smoke
154,Boddam,GB,57.4667,-1.7833,52.18,89,46,20.02,scattered clouds
155,Port Hueneme,US,34.1478,-119.1951,83.5,72,0,11.5,clear sky
156,Tahta,EG,26.7693,31.5021,83.32,19,0,5.21,clear sky
157,Dryden,CA,49.7833,-92.7503,71.89,53,75,9.22,broken clouds
158,Salalah,OM,17.0151,54.0924,78.04,94,100,13.42,light rain
159,Sinnamary,GF,5.3833,-52.95,77.0,82,98,8.41,overcast clouds
160,Pismo Beach,US,35.1428,-120.6413,73.38,70,0,18.41,clear sky
161,Taoudenni,ML,22.6783,-3.9836,97.66,16,24,9.19,few clouds
162,Reconquista,AR,-29.15,-59.65,66.36,88,63,7.25,broken clouds
163,Yulara,AU,-25.2406,130.9889,55.65,22,0,11.9,clear sky
164,Paamiut,GL,61.994,-49.6678,42.21,92,99,7.31,overcast clouds
165,Sur,OM,22.5667,59.5289,80.6,85,100,13.65,moderate rain
166,Kangaatsiaq,GL,68.3065,-53.4641,39.34,95,100,13.13,overcast clouds
167,Raudeberg,NO,61.9875,5.1352,48.87,82,99,16.44,overcast clouds
168,Walker,US,30.7335,-95.5669,88.7,79,95,12.44,overcast clouds
169,Alamosa,US,37.4695,-105.87,64.96,51,74,10.69,broken clouds
170,Verkhnevilyuysk,RU,63.4453,120.3167,64.51,68,100,4.27,overcast clouds
171,Mkokotoni,TZ,-5.8767,39.2547,71.94,89,69,8.75,light rain
172,Preobrazheniye,RU,42.9019,133.9064,68.38,84,98,5.32,overcast clouds
173,Matagami,CA,49.7502,-77.6328,57.31,72,0,2.3,clear sky
174,Svetlogorsk,BY,52.6333,29.7333,57.25,90,100,9.01,overcast clouds
175,Faanui,PF,-16.4833,-151.75,79.07,65,10,8.25,clear sky
176,Upernavik,GL,72.7868,-56.1549,40.28,83,7,1.34,clear sky
177,Romans-Sur-Isere,FR,45.0464,5.0562,61.57,67,0,8.61,clear sky
178,Pangai,TO,-19.8,-174.35,78.91,69,20,13.8,few clouds
179,Lasa,IT,46.6166,10.7002,60.37,90,51,2.86,broken clouds
180,Ivolginsk,RU,51.7492,107.2837,71.26,46,20,2.24,few clouds
181,Mahebourg,MU,-20.4081,57.7,70.09,60,75,11.5,smoke
182,Cape Town,ZA,-33.9258,18.4232,57.38,78,40,3.44,scattered clouds
183,Chokurdakh,RU,70.6333,147.9167,63.07,34,94,13.78,overcast clouds
184,Codrington,AU,-38.2667,141.9667,55.02,62,40,17.65,scattered clouds
185,South River,US,40.4465,-74.386,82.29,68,69,4.09,broken clouds
186,Erzin,TR,36.9559,36.2,72.39,89,9,1.25,clear sky
187,La Ronge,CA,55.1001,-105.2842,70.02,40,20,8.05,few clouds
188,Gimli,CA,50.6336,-96.9907,66.22,82,0,8.05,clear sky
189,Sao Jose De Ribamar,BR,-2.5619,-44.0542,80.98,81,97,8.14,overcast clouds
190,Bilibino,RU,68.0546,166.4372,52.93,69,91,5.75,overcast clouds
191,Daru,PG,-9.0763,143.2092,80.13,89,69,13.91,broken clouds
192,Caravelas,BR,-17.7125,-39.2481,71.85,80,75,4.36,broken clouds
193,Panalingaan,PH,8.7842,117.4231,83.08,73,90,4.56,overcast clouds
