City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
340,Kashi,CN,85.21,39.4547,75.9797,dust,帕米尔青年旅舍
342,Zhangye,CN,77.97,38.9342,100.4517,clear sky,Zhangye Lvzhou Holiday Inn
343,Prachuap Khiri Khan,TH,81.88,12.2167,99.75,overcast clouds,ผกากรองรีสอร์ท
345,Santa Maria,BR,74.5,-29.6842,-53.8069,clear sky,Hotel Morotin
346,Turayf,SA,70.05,31.6725,38.6637,clear sky,Turaif
347,Nieuw Amsterdam,SR,77.02,5.8833,-55.0833,overcast clouds,Hotel Stardust
349,Riyadh,SA,86.14,24.6877,46.7219,overcast clouds,"InterContinental Riyadh, an IHG Hotel"
351,Rancho San Diego,US,84.0,32.7473,-116.9353,clear sky,Lamplighter Village
352,Rio Grande City,US,88.11,26.3798,-98.8203,broken clouds,La Borde House
353,Kudahuvadhoo,MV,81.37,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
354,Pauini,BR,73.94,-7.7136,-66.9764,clear sky,Casa do Kiwliks
356,Buala,SB,82.15,-8.145,159.5921,light rain,Maringe Lagoon Lodge
359,Norman Wells,CA,86.04,65.282,-126.8329,smoke,Heritage Hotel
362,Bonfim,BR,77.85,3.0833,-59.95,light rain,
363,Hambantota,LK,82.74,6.1241,81.1185,few clouds,Bungalow 63
367,Mayor Pablo Lagerenza,PY,83.39,-19.9309,-60.7718,clear sky,
371,Aquiraz,BR,77.18,-3.9014,-38.3911,overcast clouds,Pousada Rua Camurupim
372,Galesong,ID,82.42,-5.3166,119.3661,broken clouds,Sapriadi Appy
375,Cockburn Town,TC,81.81,21.4612,-71.1419,clear sky,Osprey Beach Hotel
376,Ammon,US,83.95,43.4696,-111.9666,clear sky,"Holiday Inn Express & Suites Idaho Falls, an IHG Hotel"
377,San Patricio,US,86.09,28.017,-97.5169,clear sky,"Motel 6 Sinton, TX"
379,Kahului,US,83.97,20.8947,-156.47,broken clouds,Maui Seaside Hotel
380,Constantine,DZ,76.41,36.365,6.6147,broken clouds,Grand Hotel Cirta
382,Assiniboia,CA,75.02,49.6334,-105.9845,clear sky,Canalta Hotel Assiniboia
384,Trincomalee,LK,81.52,8.5711,81.2335,overcast clouds,Welcombe Hotel
385,Port Hedland,AU,71.65,-20.3167,118.5667,few clouds,The Esplanade Hotel
389,Magdagachi,RU,75.94,53.45,125.8,scattered clouds,Motopolyana Magdagachi
390,Casino,AU,70.57,-28.8667,153.05,overcast clouds,Squatters Homestead Motel
391,Meulaboh,ID,81.48,4.1363,96.1285,broken clouds,Kost Pria
393,Amapa,BR,70.59,1.0,-52.0,few clouds,
395,Prainha,BR,76.39,-1.8,-53.48,broken clouds,Casa Rocha
402,Kieta,PG,85.66,-6.2167,155.6333,overcast clouds,Uruna Bay Retreat
404,Natal,BR,73.62,-5.795,-35.2094,moderate rain,Villa Park Hotel | Natal
409,Bolgatanga,GH,78.13,10.7856,-0.8514,few clouds,Mama's Place
411,Mabaruma,GY,73.76,8.2,-59.7833,clear sky,Monty Brooms Guest House
413,Bonthe,SL,76.06,7.5264,-12.505,light rain,Bonthe Holiday Village
415,Fuxin,CN,77.9,42.0156,121.6589,broken clouds,Xinya International Hotel
416,Chimore,BO,79.36,-16.9833,-65.1333,overcast clouds,Bichito
419,Auki,SB,84.65,-8.7676,160.7034,broken clouds,Auki Motel
420,Cayenne,GF,82.09,4.9333,-52.3333,clear sky,Hôtel Le Dronmi
424,Iquitos,PE,71.56,-3.7481,-73.2472,few clouds,Cortez Malaga Techy Caroly
425,Kavieng,PG,82.83,-2.5744,150.7967,light rain,Nusa Island Retreat
426,Hamilton,US,76.75,39.1834,-84.5333,mist,Six Acres Bed & Breakfast
428,Waw,SS,71.22,7.7029,27.9953,broken clouds,Universal Gab Hotel
431,Baruun-Urt,MN,77.04,46.6806,113.2792,overcast clouds,Ахмадын амралт сувилал
432,Souillac,MU,70.18,-20.5167,57.5167,smoke,Shanti Maurice Resort & Spa
433,Fairbanks,US,85.6,64.8378,-147.7164,smoke,Westmark Fairbanks Hotel & Conference Center
434,Bengkulu,ID,82.09,-3.8004,102.2655,scattered clouds,Grage Hotel Bengkulu
435,Tual,ID,78.44,-5.6667,132.75,overcast clouds,Grand Vilia Hotel
436,Padang,ID,80.65,-0.9492,100.3543,scattered clouds,Mercure Padang
437,Sao Filipe,CV,75.04,14.8961,-24.4956,overcast clouds,Hotel Xaguate
441,San Mateo Del Mar,MX,83.05,16.2,-95.0,overcast clouds,
442,Kunjah,PK,83.17,32.5285,73.9737,overcast clouds,Ali BaBa
443,Petropavlovsk-Kamchatskiy,RU,70.39,53.0452,158.6483,broken clouds,The Hotel Petropavlovsky
447,Izumo,JP,85.77,35.3667,132.7667,overcast clouds,Toyoko-Inn Izumoshi ekimae
