City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Kaniama,CD,2022-07-03 05:00:40,-7.5667,24.1833,63.3,59,1,3.69
99,Sangar,RU,2022-07-03 05:00:41,63.9242,127.4739,77.05,47,45,9.78
100,Cabo San Lucas,MX,2022-07-03 05:00:01,22.8909,-109.9124,83.61,67,1,1.99
101,Lompoc,US,2022-07-03 05:00:41,34.6391,-120.4579,57.52,83,100,21.0
102,Srednekolymsk,RU,2022-07-03 05:00:42,67.45,153.6833,66.63,29,2,13.56
103,Baykit,RU,2022-07-03 05:00:43,61.67,96.37,67.21,57,81,9.4
104,Tuktoyaktuk,CA,2022-07-03 05:00:43,69.4541,-133.0374,58.93,63,12,11.52
105,Torbay,CA,2022-07-03 05:00:44,47.6666,-52.7314,63.57,90,100,23.02
106,Pevek,RU,2022-07-03 05:00:44,69.7008,170.3133,32.54,97,100,7.43
107,Hofn,IS,2022-07-03 05:00:45,64.2539,-15.2082,52.07,72,100,14.38
108,Carnarvon,AU,2022-07-03 05:00:45,-24.8667,113.6333,69.8,25,0,14.14
109,New Norfolk,AU,2022-07-03 05:00:46,-42.7826,147.0587,57.88,80,60,1.45
110,Longyearbyen,SJ,2022-07-03 05:00:46,78.2186,15.6401,44.44,87,75,9.22
111,Ofunato,JP,2022-07-03 05:00:47,39.0717,141.7167,88.29,49,100,6.31
112,Cabra,ES,2022-07-03 05:00:47,37.4725,-4.4421,69.66,82,81,2.75
113,Chuy,UY,2022-07-03 05:00:48,-33.6971,-53.4616,42.84,89,19,4.23
114,Virginia Beach,US,2022-07-03 04:58:16,36.8529,-75.978,79.02,88,7,3.0
115,Turka,UA,2022-07-03 05:00:49,49.1541,23.0297,66.15,91,99,2.98
116,Lakatoro,VU,2022-07-03 05:00:49,-16.0999,167.4164,81.63,75,7,15.93
117,Luderitz,NA,2022-07-03 05:00:50,-26.6481,15.1594,55.76,84,0,7.54
118,Quatre Cocos,MU,2022-07-03 05:00:51,-20.2078,57.7625,74.08,65,79,21.0
